Time stamp,Reward,Error,Kp,Tn,Tv,setpoint,learning_rate,num_policy,num_reward,Status
237,-174.26702636328412,171.67685885991992,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
238,-171.67685885991992,169.082050194955,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
239,-169.082050194955,166.48426592613816,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
240,-166.48426592613816,163.88505338206446,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
241,-163.88505338206446,161.28584936884886,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
242,-161.28584936884886,158.68798737940577,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
243,-158.68798737940577,156.09270433739619,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
244,-156.09270433739619,153.5011469058411,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
245,-153.5011469058411,150.91437738846247,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
246,-150.91437738846247,148.3333792500076,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
247,-148.3333792500076,145.75906228011888,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
248,-145.75906228011888,143.19226742372774,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
249,-143.19226742372774,140.6337712994712,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
250,-140.6337712994712,138.0842904262442,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
251,-138.0842904262442,135.5444851767026,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
252,-135.5444851767026,133.01496347532128,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
253,-133.01496347532128,130.4962842574759,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
254,-130.4962842574759,127.98896070495545,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
255,-127.98896070495545,125.49346327232041,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
256,-125.49346327232041,123.01022251759096,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
257,-123.01022251759096,120.53963174988202,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
258,-120.53963174988202,118.0820495057878,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
259,-118.0820495057878,115.63780186555749,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
260,-115.63780186555749,113.20718461939357,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
261,-113.20718461939357,110.79046529353622,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
262,-110.79046529353622,108.38788504517613,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
263,-108.38788504517613,105.99966043465452,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
